system_name,system_type,text_source,query_id,query,target_category,relevant_ids,relevant_count,retrieved_relevant_count,false_positive_count,false_negative_count,similarity_score,mean_topk_similarity_score,retrieval_score,precision_at_k,recall_at_k,accuracy_at_1,f1_at_k,topk_hit_rate,hallucination,hallucination_flag,hallucination_reason,top1_id,top1_category,topk_ids,topk_categories,expected_definition
keyword-bm25,keyword,stt_transcript,probe_ytmp4-afccb9d27f18,"YTDown.com_YouTube_Media_3h1ZfLjF3RI_001_1080p 3h1ZfLjF3RI the And is of to 1. 1. 1. 1. 1. 1. 1. 1. 흥 3,000원 세계 최대",youtube_mp4,YTMP4-AFCCB9D27F18,1,1,2,0,1.0,0.565186498318015,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-AFCCB9D27F18,youtube_mp4,"YTMP4-AFCCB9D27F18, YTMP4-979A17CAD9F8, YTMP4-9D598AFBD196","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-9d598afbd196,YTDown.com_YouTube_Media_46X4gJcJ2mM_001_1080p 46X4gJcJ2mM 우와 지금 로봇 소피아 오늘 아... 아... 아... 아... 아... 아... 아... 아... 아... 아... 형수 지금,youtube_mp4,YTMP4-9D598AFBD196,1,1,2,0,1.0,0.5523216157685344,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-9D598AFBD196,youtube_mp4,"YTMP4-9D598AFBD196, YTMP4-2FCE086A1718, YTMP4-6FE497384F8E","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-6fe497384f8e,"YTDown.com_YouTube_Media_4UnJMcnKhM4_001_1080p 4UnJMcnKhM4 있습니다 이런 있는 나온 다른 파란 바다위엔 크고 작은 섬들이 총촘이 떠 있습니다. 300,000예순 5개를 부문 이군",youtube_mp4,YTMP4-6FE497384F8E,1,1,2,0,1.0,0.35945395132364416,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-6FE497384F8E,youtube_mp4,"YTMP4-6FE497384F8E, YTMP4-979A17CAD9F8, YTMP4-23741B743043","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-e75789c25f35,YTDown.com_YouTube_Media_Cf-yc_dlKK0_001_1080p Cf yc dlKK0 겁니다 거죠 동작을 수고하셨습니다. 안녕하세요 엔진이예TV입니다. 나쁘문의 영상 이니틀이가 공장에서 일하는 모습이죠. 오늘 특별히 이야기할,youtube_mp4,YTMP4-E75789C25F35,1,1,2,0,1.0,0.40148686030555775,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-E75789C25F35,youtube_mp4,"YTMP4-E75789C25F35, YTMP4-60AFAE241FE3, YTMP4-B7356530864E","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-b7356530864e,YTDown.com_YouTube_Media_IS4sqz9v0vg_001_1080p IS4sqz9v0vg 이제 거죠 보면 겁니다 이런 안녕하세요 엔진이의 팀입니다 로봇티즈가 최근에 왜 골랐을까요 정부의 로봇하는 육성 정책 기대가,youtube_mp4,YTMP4-B7356530864E,1,1,2,0,1.0,0.4448490453106355,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-B7356530864E,youtube_mp4,"YTMP4-B7356530864E, YTMP4-2FCE086A1718, YTMP4-E75789C25F35","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-2fce086a1718,YTDown.com_YouTube_Media_KIsduXcXDnE_001_1080p KIsduXcXDnE 그런 있는 같은 있습니다 굉장히 zyć 가슈로 가시죠 가슈로 가시죠 take it Ow Enough 아 나 안들어,youtube_mp4,YTMP4-2FCE086A1718,1,1,2,0,1.0,0.4020868798294211,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-2FCE086A1718,youtube_mp4,"YTMP4-2FCE086A1718, YTMP4-23741B743043, YTMP4-6FE497384F8E","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-60afae241fe3,YTDown.com_YouTube_Media_PbF7k5I8RJ4_001_1080p PbF7k5I8RJ4 있습니다 걸로 봅니다 로봇 이런 안녕하세요 엔진이예TV입니다. 오늘 영상은 로봇 산업에서 앞으로 일어날 일들인데요. 당장 일리는 사이에,youtube_mp4,YTMP4-60AFAE241FE3,1,1,2,0,1.0,0.4610646656675251,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-60AFAE241FE3,youtube_mp4,"YTMP4-60AFAE241FE3, YTMP4-E75789C25F35, YTMP4-585612C9B3E6","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-585612c9b3e6,YTDown.com_YouTube_Media_fDEj1NGKL6g_001_1080p fDEj1NGKL6g 로봇 중국 있습니다 중국의 로봇이 사람도 어렵다는 사이드 블랙을 단번의 성공 화만 삶길 장애물이 있어도 거침 없이,youtube_mp4,YTMP4-585612C9B3E6,1,1,2,0,1.0,0.3805056006266256,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-585612C9B3E6,youtube_mp4,"YTMP4-585612C9B3E6, YTMP4-979A17CAD9F8, YTMP4-AFCCB9D27F18","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-56c6e38c79a4,"YTDown.com_YouTube_Media_g0YMyJhkobk_001_1080p g0YMyJhkobk 있는 로봇 로봇을 있습니다 그리고 한 남성이 작업을 하고 있습니다. 아, 휴가 한번 토지게. 이때 주변을 둘이",youtube_mp4,YTMP4-56C6E38C79A4,1,1,2,0,1.0,0.4541618488957297,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-56C6E38C79A4,youtube_mp4,"YTMP4-56C6E38C79A4, YTMP4-B7356530864E, YTMP4-60AFAE241FE3","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
keyword-bm25,keyword,stt_transcript,probe_ytmp4-23741b743043,"YTDown.com_YouTube_Media_n9utqJvZ5Ds_001_1080p n9utqJvZ5Ds 이런 그런 있는 있습니다 그래서 오, 시원하다. 누룽도 원인데? ㅋㅋㅋㅋㅋㅋㅋㅋ 야. 안녕하세요. 아이트는 택힛 이슈레기입니다. 오늘은 세계태초.",youtube_mp4,YTMP4-23741B743043,1,1,2,0,1.0,0.4742455107860238,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,NO,0,,YTMP4-23741B743043,youtube_mp4,"YTMP4-23741B743043, YTMP4-9D598AFBD196, YTMP4-E75789C25F35","youtube_mp4, youtube_mp4, youtube_mp4",relevant_id/relevant_ids + category + source_type
